Date,Match,HomeTeam,AwayTeam,FTHG,FTAG
2025-05-10 00:00:00.000000,Sirius 2-0 Hacken,Sirius,Hacken,2,0
2025-05-11 00:00:00.000000,AIK 2-1 Mjallby,AIK,Mjallby,2,1
2025-05-11 00:00:00.000000,Hammarby 1-1 Norrkoping,Hammarby,Norrkoping,1,1
2025-05-11 00:00:00.000000,Degerfors 1-4 Malmo FF,Degerfors,Malmo FF,1,4
2025-05-11 00:00:00.000000,Oster 0-1 Elfsborg,Oster,Elfsborg,0,1
2025-05-12 00:00:00.000000,Goteborg 1-2 Djurgarden,Goteborg,Djurgarden,1,2
2025-05-14 00:00:00.000000,Hacken 3-3 AIK,Hacken,AIK,3,3
2025-05-14 00:00:00.000000,Halmstad 1-3 GAIS,Halmstad,GAIS,1,3
2025-05-14 00:00:00.000000,Hammarby 3-2 Sirius,Hammarby,Sirius,3,2
2025-05-15 00:00:00.000000,Djurgarden 1-3 Mjallby,Djurgarden,Mjallby,1,3
2025-05-15 00:00:00.000000,Elfsborg 4-3 Brommapojkarna,Elfsborg,Brommapojkarna,4,3
2025-05-15 00:00:00.000000,Goteborg 0-1 Oster,Goteborg,Oster,0,1
2025-05-15 00:00:00.000000,Norrkoping 1-2 Degerfors,Norrkoping,Degerfors,1,2
2025-05-15 00:00:00.000000,Varnamo 2-2 Malmo FF,Varnamo,Malmo FF,2,2
2025-05-18 00:00:00.000000,AIK 0-0 Hammarby,AIK,Hammarby,0,0
2025-05-18 00:00:00.000000,Hacken 2-0 Varnamo,Hacken,Varnamo,2,0
2025-05-18 00:00:00.000000,Malmo FF 3-0 Halmstad,Malmo FF,Halmstad,3,0
2025-05-18 00:00:00.000000,Oster 1-1 GAIS,Oster,GAIS,1,1
2025-05-19 00:00:00.000000,Degerfors 1-3 Goteborg,Degerfors,Goteborg,1,3
2025-05-19 00:00:00.000000,Mjallby 1-0 Brommapojkarna,Mjallby,Brommapojkarna,1,0
2025-05-19 00:00:00.000000,Sirius 1-2 Norrkoping,Sirius,Norrkoping,1,2
2025-05-19 00:00:00.000000,Elfsborg 4-0 Djurgarden,Elfsborg,Djurgarden,4,0
2025-05-22 00:00:00.000000,Hammarby 1-2 Mjallby,Hammarby,Mjallby,1,2
2025-05-22 00:00:00.000000,Malmo FF 0-0 AIK,Malmo FF,AIK,0,0
2025-05-24 00:00:00.000000,Varnamo 1-1 Oster,Varnamo,Oster,1,1
