Mjallby,Hammarby,AIK,Elfsborg,Malmo FF,GAIS,Goteborg,Djurgarden,Norrkoping,Hacken,Sirius,Brommapojkarna,Degerfors,Halmstad,Oster,Varnamo,platinumcars arena,bravida arena,spiris arena 1 växjö,eleda stadion,borås arena,finnvedsvallen värnamo,örjans vall,gamla ullevi,3arena,stora valla,strandvallen a-plan,nationalarenan strawberry arena,grimsta ip 1,studenternas
57,59,60,62,67,46,45,45,26,33,50,35,28,27,37,21,1,1,0,0,0,1,3,1,3,0,1,0,1,0
54,62,53,56,64,46,46,31,35,53,39,33,27,34,31,25,0,0,3,3,1,0,3,3,0,3,3,1,1,3
60,63,53,64,61,44,47,42,38,40,35,36,26,20,42,26,3,3,1,0,0,0,0,3,0,1,3,3,1,0
68,66,52,56,54,59,31,40,38,39,36,43,24,27,24,28,3,0,0,3,0,0,1,1,0,3,3,1,1,3
62,50,58,59,58,40,44,37,31,41,39,26,40,43,32,24,0,3,1,1,3,1,0,0,4,1,1,0,3,0
61,66,60,58,65,48,37,41,29,47,28,36,21,33,31,19,3,3,1,0,3,0,3,4,3,1,1,0,0,3
57,70,62,61,54,42,41,42,25,46,32,38,33,23,33,29,3,0,3,0,1,0,1,0,3,3,3,0,1,1
64,59,56,56,57,40,37,43,40,35,42,34,33,27,39,24,1,0,0,0,3,0,1,4,3,1,0,3,3,3
63,59,50,54,57,50,44,44,34,49,32,34,33,38,25,22,1,1,3,0,3,0,3,3,0,1,0,0,0,3
68,62,54,65,48,53,39,48,44,29,43,27,24,28,31,30,0,3,0,1,0,0,3,2,4,0,3,1,1,3
59,68,61,55,54,49,42,39,30,41,33,27,31,19,41,34,3,1,1,0,0,1,3,0,0,0,1,1,3,3
59,71,59,68,65,52,36,37,36,34,37,38,26,21,29,22,0,3,0,0,0,3,3,6,0,1,3,1,0,0
58,55,57,61,59,50,42,42,30,43,44,29,26,31,32,23,1,1,0,1,3,0,0,0,6,1,1,3,1,0
65,55,69,52,58,55,29,36,35,34,42,35,31,26,48,16,3,3,0,1,1,3,3,1,3,0,0,0,1,3
58,60,47,55,55,48,40,37,48,30,47,35,26,23,37,27,1,3,3,0,0,3,1,6,6,3,1,3,0,0
58,58,54,61,64,49,43,50,28,36,32,29,41,26,33,24,1,0,1,0,1,3,3,3,3,3,1,0,3,1
60,55,55,66,62,43,44,39,31,38,44,37,25,30,31,29,0,0,3,0,0,1,3,1,2,3,1,3,3,0
50,57,59,62,65,48,40,34,39,37,39,30,33,25,31,37,1,1,0,0,0,0,0,2,6,3,0,0,1,1
50,74,59,59,60,40,37,36,31,39,36,44,33,24,31,35,3,3,3,1,3,0,3,0,1,3,1,0,3,0
54,66,51,62,62,54,37,39,36,49,37,35,34,24,36,20,1,3,1,0,0,3,0,3,0,3,0,3,0,1
60,51,57,58,58,42,39,37,37,40,49,34,31,23,39,35,3,0,0,0,0,0,0,3,4,3,3,3,0,0
61,56,62,62,62,41,40,39,32,38,37,33,32,30,26,36,3,3,0,0,0,0,0,4,4,1,1,1,3,3
62,61,55,63,59,46,40,39,40,37,43,26,31,25,37,19,1,0,1,1,0,3,1,6,4,0,3,1,0,1
63,66,49,58,62,49,29,44,44,35,39,37,26,28,34,22,3,0,1,0,0,3,3,6,3,1,0,0,1,3
59,61,54,58,62,47,35,39,37,29,34,34,29,35,30,21,3,3,0,1,3,1,3,4,4,3,0,3,3,3
78,58,58,55,52,48,48,35,38,40,47,38,22,23,29,18,3,0,0,3,0,0,0,2,3,3,1,1,0,0
53,66,64,59,55,44,41,40,32,43,37,36,24,37,33,27,3,0,1,1,0,1,0,3,3,3,3,1,3,0
59,58,65,59,59,45,37,54,41,42,38,41,27,21,26,22,1,0,1,0,1,0,3,0,1,1,1,1,3,1
57,59,50,57,58,58,50,35,44,33,36,41,35,30,23,23,0,3,3,0,0,3,1,1,3,3,0,3,1,0
56,60,47,69,52,55,50,43,38,41,31,38,29,33,28,20,3,3,3,3,1,0,0,4,0,3,0,0,1,0
55,62,55,68,58,55,40,41,46,43,29,26,33,25,23,30,0,3,3,0,0,0,3,3,2,3,1,1,0,3
62,48,59,62,57,50,50,38,30,34,41,39,27,28,28,22,1,1,1,0,0,3,3,3,6,1,0,0,3,0
65,63,56,63,51,44,49,43,42,38,31,34,21,19,40,26,0,0,1,0,0,1,3,4,3,1,3,1,0,1
70,61,55,55,56,47,37,39,27,46,39,46,23,29,30,24,0,0,3,0,0,1,3,3,1,1,0,1,3,3
70,61,56,57,62,53,39,43,36,37,34,32,25,25,25,23,1,0,1,0,0,3,3,4,3,3,0,1,1,1
53,62,52,58,60,54,31,44,34,35,35,47,35,31,37,16,3,3,3,0,0,3,3,3,0,0,3,3,1,0
65,61,53,55,51,49,51,43,43,38,31,35,35,34,26,22,3,1,0,0,0,0,1,1,1,3,1,0,0,0
64,59,56,57,59,54,39,44,32,39,41,32,25,19,26,33,3,3,3,0,0,3,3,4,1,3,1,0,1,0
52,65,46,58,51,49,39,41,50,52,33,32,27,36,28,26,0,0,3,3,0,0,3,0,2,3,1,1,1,1
63,53,53,61,63,49,29,43,39,36,40,32,35,26,34,26,0,1,3,0,1,0,3,1,6,3,1,3,3,0
59,64,49,47,58,56,39,34,42,45,49,42,30,25,29,25,0,3,3,3,0,0,3,6,0,0,0,3,3,3
62,65,53,68,64,47,46,42,41,39,36,22,21,36,28,25,3,0,0,0,1,0,3,3,4,1,0,0,3,0
60,70,49,52,54,37,52,44,39,39,44,28,36,29,35,25,0,0,0,0,0,3,3,4,2,1,0,0,0,0
58,60,60,67,63,42,36,36,36,32,49,35,25,29,35,26,0,3,3,0,0,1,3,0,1,3,3,0,3,3
49,65,63,69,54,38,39,34,46,45,44,35,20,31,28,22,0,0,3,0,0,1,3,6,4,3,1,0,3,0
58,57,60,64,49,52,36,41,45,37,41,37,22,37,28,14,0,1,3,1,1,3,1,1,3,3,1,0,3,3
69,65,60,51,60,51,34,39,31,39,45,31,29,32,21,25,3,1,3,0,3,3,1,4,3,0,0,3,0,1
59,57,62,52,53,47,41,44,27,40,29,37,28,33,37,30,3,0,3,0,3,3,3,3,1,3,3,0,1,3
61,60,58,53,60,43,40,31,33,46,38,38,35,25,26,27,3,0,3,0,3,3,3,3,1,3,1,3,3,0
51,51,61,60,62,48,48,40,43,41,44,35,20,27,29,26,3,1,0,1,0,1,3,3,3,1,3,1,1,3
63,55,57,57,57,51,39,30,38,50,33,31,27,34,32,24,0,1,1,0,0,3,3,6,0,3,3,1,3,3
