Date,HomeTeam,AwayTeam,FTHG,FTAG
2023-07-31,Malmo FF,Varnamo,3,1
2023-07-31,Sirius,AIK,0,1
2023-08-05,Brommapojkarna,Varnamo,0,2
2023-08-06,Elfsborg,Sirius,1,0
2023-08-06,Kalmar,AIK,1,1
2023-08-07,Malmo FF,Halmstad,3,0
2023-08-07,Norrkoping,Goteborg,3,0
2023-08-07,Varberg,Mjallby,0,3
2023-08-12,AIK,Brommapojkarna,2,2
2023-08-13,Goteborg,Djurgarden,2,1
2023-08-13,Sirius,Kalmar,3,0
2023-08-13,Hacken,Varberg,2,0
2023-08-13,Halmstad,Norrkoping,1,3
2023-08-13,Hammarby,Elfsborg,1,0
2023-08-14,Mjallby,Malmo FF,1,0
2023-08-14,Varnamo,Degerfors,0,1
2023-08-19,Brommapojkarna,Halmstad,3,1
2023-08-19,Degerfors,Goteborg,1,2
2023-08-19,Varberg,Varnamo,0,3
2023-08-20,Hacken,Sirius,3,2
2023-08-20,Malmo FF,Djurgarden,0,0
2023-08-20,Elfsborg,Mjallby,2,0
2023-08-20,Kalmar,Hammarby,0,0
2023-08-21,Norrkoping,AIK,3,1
2023-08-27,Brommapojkarna,Kalmar,2,3
2023-08-27,Mjallby,Hammarby,0,3
2023-08-27,Varnamo,Halmstad,0,0
2023-08-27,Djurgarden,Degerfors,4,1
2023-08-27,Goteborg,Hacken,4,2
2023-08-28,AIK,Varberg,3,0
2023-08-28,Elfsborg,Norrkoping,3,2
2023-08-28,Sirius,Malmo FF,1,3
2023-09-02,Halmstad,Sirius,2,1
2023-09-02,Varnamo,Elfsborg,1,0
2023-09-03,Degerfors,Hacken,1,0
2023-09-03,Hammarby,AIK,4,2
2023-09-03,Kalmar,Mjallby,0,2
2023-09-03,Malmo FF,Goteborg,2,2
2023-09-03,Norrkoping,Djurgarden,0,2
2023-09-03,Varberg,Brommapojkarna,4,3
2023-09-16,Goteborg,Brommapojkarna,1,0
2023-09-16,Sirius,Varberg,7,0
2023-09-16,Djurgarden,Varnamo,1,2
2023-09-17,Hammarby,Malmo FF,1,3
2023-09-17,Elfsborg,Kalmar,0,3
2023-09-17,Hacken,Halmstad,3,2
2023-09-18,Norrkoping,Mjallby,0,2
2023-09-18,AIK,Degerfors,2,0
2023-09-23,Degerfors,Malmo FF,1,2
2023-09-23,Brommapojkarna,Norrkoping,2,2
2023-09-24,AIK,Djurgarden,2,0
2023-09-24,Mjallby,Goteborg,0,1
2023-09-24,Kalmar,Hacken,1,0
2023-09-24,Varberg,Hammarby,0,1
2023-09-25,Halmstad,Elfsborg,0,1
2023-09-25,Varnamo,Sirius,0,1
2023-09-30,Djurgarden,Halmstad,1,0
2023-09-30,Norrkoping,Kalmar,1,0
2023-10-01,Hacken,AIK,2,0
2023-10-01,Sirius,Degerfors,3,2
2023-10-01,Hammarby,Goteborg,1,1
2023-10-01,Mjallby,Varnamo,2,3
2023-10-02,Elfsborg,Varberg,2,1
2023-10-02,Malmo FF,Brommapojkarna,2,1
2023-10-07,AIK,Mjallby,1,0
