Round,Date,Day,Time,Home_Team,Away_Team,Status
27,2025-10-19,SÖNDAG,00:00,GAIS,Djurgarden,
27,2025-10-19,SÖNDAG,00:00,Goteborg,Mjallby,
27,2025-10-19,SÖNDAG,00:00,Hacken,Sirius,
27,2025-10-19,SÖNDAG,00:00,Norrkoping,Malmo FF,
27,2025-10-19,SÖNDAG,00:00,Degerfors,Halmstad,
27,2025-10-19,SÖNDAG,00:00,Varnamo,Brommapojkarna,
28,2025-10-26,SÖNDAG,00:00,AIK,Hacken,
28,2025-10-26,SÖNDAG,00:00,Djurgarden,Varnamo,
28,2025-10-26,SÖNDAG,00:00,Brommapojkarna,GAIS,
28,2025-10-26,SÖNDAG,00:00,Oster,Degerfors,
28,2025-10-26,SÖNDAG,00:00,Malmo FF,Hammarby,
28,2025-10-26,SÖNDAG,00:00,Mjallby,Norrkoping,
28,2025-10-26,SÖNDAG,00:00,Sirius,Elfsborg,
28,2025-10-26,SÖNDAG,00:00,Halmstad,Goteborg,
29,2025-11-02,SÖNDAG,00:00,Djurgarden,Goteborg,
29,2025-11-02,SÖNDAG,00:00,Elfsborg,AIK,
29,2025-11-02,SÖNDAG,00:00,GAIS,Oster,
29,2025-11-02,SÖNDAG,00:00,Hacken,Malmo FF,
29,2025-11-02,SÖNDAG,00:00,Norrkoping,Sirius,
29,2025-11-02,SÖNDAG,00:00,Halmstad,Brommapojkarna,
29,2025-11-02,SÖNDAG,00:00,Degerfors,Hammarby,
29,2025-11-02,SÖNDAG,00:00,Varnamo,Mjallby,
30,2025-11-09,SÖNDAG,00:00,AIK,Halmstad,
30,2025-11-09,SÖNDAG,00:00,Hammarby,Elfsborg,
30,2025-11-09,SÖNDAG,00:00,Brommapojkarna,Degerfors,
30,2025-11-09,SÖNDAG,00:00,Goteborg,Norrkoping,
30,2025-11-09,SÖNDAG,00:00,Oster,Djurgarden,
30,2025-11-09,SÖNDAG,00:00,Malmo FF,GAIS,
30,2025-11-09,SÖNDAG,00:00,Mjallby,Hacken,
30,2025-11-09,SÖNDAG,00:00,Sirius,Varnamo,Degerfors IF,Djurgårdens IF,
26,2025-10-04,LÖRDAG,17:30,gamla ullevi,GAIS,IFK Norrköping,
26,2025-10-04,LÖRDAG,17:30,strandvallen a-plan,Mjällby AIF,IF Elfsborg,
26,2025-10-05,SÖNDAG,14:00,nationalarenan strawberry arena,AIK,IFK Värnamo,
26,2025-10-05,SÖNDAG,14:00,gamla ullevi,IFK Göteborg,Hammarby,
26,2025-10-05,SÖNDAG,16:30,grimsta ip 1,IF Brommapojkarna,BK Häcken,
26,2025-10-05,SÖNDAG,16:30,studenternas,IK Sirius,Malmö FF,
27,2025-10-19,SÖNDAG,00:00,3arena,Hammarby,AIK,
27,2025-10-19,SÖNDAG,00:00,borås arena,IF Elfsborg,Östers IF,
27,2025-10-19,SÖNDAG,00:00,gamla ullevi,GAIS,Djurgårdens IF,
27,2025-10-19,SÖNDAG,00:00,gamla ullevi,IFK Göteborg,Mjällby AIF,
27,2025-10-19,SÖNDAG,00:00,bravida arena,BK Häcken,IK Sirius,
27,2025-10-19,SÖNDAG,00:00,platinumcars arena,IFK Norrköping,Malmö FF,
27,2025-10-19,SÖNDAG,00:00,stora valla,Degerfors IF,Halmstads BK,
27,2025-10-19,SÖNDAG,00:00,finnvedsvallen värnamo,IFK Värnamo,IF Brommapojkarna,
28,2025-10-26,SÖNDAG,00:00,nationalarenan strawberry arena,AIK,BK Häcken,
28,2025-10-26,SÖNDAG,00:00,3arena,Djurgårdens IF,IFK Värnamo,
28,2025-10-26,SÖNDAG,00:00,grimsta ip 1,IF Brommapojkarna,GAIS,
28,2025-10-26,SÖNDAG,00:00,spiris arena 1 växjö,Östers IF,Degerfors IF,
28,2025-10-26,SÖNDAG,00:00,eleda stadion,Malmö FF,Hammarby,
28,2025-10-26,SÖNDAG,00:00,strandvallen a-plan,Mjällby AIF,IFK Norrköping,
28,2025-10-26,SÖNDAG,00:00,studenternas,IK Sirius,IF Elfsborg,
28,2025-10-26,SÖNDAG,00:00,örjans vall,Halmstads BK,IFK Göteborg,
29,2025-11-02,SÖNDAG,00:00,3arena,Djurgårdens IF,IFK Göteborg,
29,2025-11-02,SÖNDAG,00:00,borås arena,IF Elfsborg,AIK,
29,2025-11-02,SÖNDAG,00:00,gamla ullevi,GAIS,Östers IF,
